site,url,slug,viewport,raw_screenshot,clone_page,source_viewport,raw_width,raw_height,psnr,exact,pass,note
neuralink,https://neuralink.com/,home,desktop,public-clone/sites/neuralink/home/assets/desktop.png,public-clone/sites/neuralink/home/index.html,1440x1000,1440,4979,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/,home,mobile,public-clone/sites/neuralink/home/assets/mobile.png,public-clone/sites/neuralink/home/index.html,390x844,390,4206,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/,careers,desktop,public-clone/sites/neuralink/careers/assets/desktop.png,public-clone/sites/neuralink/careers/index.html,1440x1000,1440,13369,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/,careers,mobile,public-clone/sites/neuralink/careers/assets/mobile.png,public-clone/sites/neuralink/careers/index.html,390x844,390,11919,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/apply/,careers-apply,desktop,public-clone/sites/neuralink/careers-apply/assets/desktop.png,public-clone/sites/neuralink/careers-apply/index.html,1440x1000,1440,6004,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/apply/,careers-apply,mobile,public-clone/sites/neuralink/careers-apply/assets/mobile.png,public-clone/sites/neuralink/careers-apply/index.html,390x844,390,6849,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/mailing-list/,mailing-list,desktop,public-clone/sites/neuralink/mailing-list/assets/desktop.png,public-clone/sites/neuralink/mailing-list/index.html,1440x1000,1440,1866,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/mailing-list/,mailing-list,mobile,public-clone/sites/neuralink/mailing-list/assets/mobile.png,public-clone/sites/neuralink/mailing-list/index.html,390x844,390,2324,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/patient-registry-privacy-notice/,patient-registry-privacy-notice,desktop,public-clone/sites/neuralink/patient-registry-privacy-notice/assets/desktop.png,public-clone/sites/neuralink/patient-registry-privacy-notice/index.html,1440x1000,1440,3342,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/patient-registry-privacy-notice/,patient-registry-privacy-notice,mobile,public-clone/sites/neuralink/patient-registry-privacy-notice/assets/mobile.png,public-clone/sites/neuralink/patient-registry-privacy-notice/index.html,390x844,390,4631,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/privacy-policy/,privacy-policy,desktop,public-clone/sites/neuralink/privacy-policy/assets/desktop.png,public-clone/sites/neuralink/privacy-policy/index.html,1440x1000,1440,5861,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/privacy-policy/,privacy-policy,mobile,public-clone/sites/neuralink/privacy-policy/assets/mobile.png,public-clone/sites/neuralink/privacy-policy/index.html,390x844,390,9226,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/technology/,technology,desktop,public-clone/sites/neuralink/technology/assets/desktop.png,public-clone/sites/neuralink/technology/index.html,1440x1000,1440,26309,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/technology/,technology,mobile,public-clone/sites/neuralink/technology/assets/mobile.png,public-clone/sites/neuralink/technology/index.html,390x844,390,21398,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/terms-of-use/,terms-of-use,desktop,public-clone/sites/neuralink/terms-of-use/assets/desktop.png,public-clone/sites/neuralink/terms-of-use/index.html,1440x1000,1440,7456,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/terms-of-use/,terms-of-use,mobile,public-clone/sites/neuralink/terms-of-use/assets/mobile.png,public-clone/sites/neuralink/terms-of-use/index.html,390x844,390,12111,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/,trials,desktop,public-clone/sites/neuralink/trials/assets/desktop.png,public-clone/sites/neuralink/trials/index.html,1440x1000,1440,3460,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/,trials,mobile,public-clone/sites/neuralink/trials/assets/mobile.png,public-clone/sites/neuralink/trials/index.html,390x844,390,4454,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/device-control/,trials-device-control,desktop,public-clone/sites/neuralink/trials-device-control/assets/desktop.png,public-clone/sites/neuralink/trials-device-control/index.html,1440x1000,1440,3035,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/device-control/,trials-device-control,mobile,public-clone/sites/neuralink/trials-device-control/assets/mobile.png,public-clone/sites/neuralink/trials-device-control/index.html,390x844,390,3469,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/speech-restoration/,trials-speech-restoration,desktop,public-clone/sites/neuralink/trials-speech-restoration/assets/desktop.png,public-clone/sites/neuralink/trials-speech-restoration/index.html,1440x1000,1440,3447,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/speech-restoration/,trials-speech-restoration,mobile,public-clone/sites/neuralink/trials-speech-restoration/assets/mobile.png,public-clone/sites/neuralink/trials-speech-restoration/index.html,390x844,390,3604,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/visual-prosthesis/,trials-visual-prosthesis,desktop,public-clone/sites/neuralink/trials-visual-prosthesis/assets/desktop.png,public-clone/sites/neuralink/trials-visual-prosthesis/index.html,1440x1000,1440,2246,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/visual-prosthesis/,trials-visual-prosthesis,mobile,public-clone/sites/neuralink/trials-visual-prosthesis/assets/mobile.png,public-clone/sites/neuralink/trials-visual-prosthesis/index.html,390x844,390,2658,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/,updates,desktop,public-clone/sites/neuralink/updates/assets/desktop.png,public-clone/sites/neuralink/updates/index.html,1440x1000,1440,11365,inf,true,true,pixel-perfect
