file,page,num,type,width,height,color,comp,bpc,enc,interp,object_id,object_gen,x_ppi,y_ppi,encoded_size,ratio,file_size_bytes
docs/source-material/pdf-extract/embedded-images/image-000.png,1,0,image,598,479,icc,3,8,image,no,781,0,631,630,184K,22%,154049
docs/source-material/pdf-extract/embedded-images/image-001.png,1,1,smask,598,479,gray,1,8,image,no,781,0,631,630,17.0K,6.1%,16991
docs/source-material/pdf-extract/embedded-images/image-002.png,1,2,image,4900,2005,icc,3,8,image,no,782,0,296,297,2438K,8.5%,2909745
docs/source-material/pdf-extract/embedded-images/image-003.png,1,3,smask,4900,2005,gray,1,8,image,no,782,0,296,297,1042K,11%,1177164
docs/source-material/pdf-extract/embedded-images/image-004.png,1,4,image,503,1104,icc,3,8,image,no,783,0,464,463,53.9K,3.3%,58510
docs/source-material/pdf-extract/embedded-images/image-005.png,1,5,smask,503,1104,gray,1,8,image,no,783,0,464,463,45.4K,8.4%,46897
docs/source-material/pdf-extract/embedded-images/image-006.jpg,1,6,image,258,258,icc,3,8,jpeg,no,784,0,282,282,34.7K,18%,35539
docs/source-material/pdf-extract/embedded-images/image-007.png,2,7,image,996,798,icc,3,8,image,no,793,0,498,498,432K,19%,344780
docs/source-material/pdf-extract/embedded-images/image-008.png,2,8,smask,996,798,gray,1,8,image,no,793,0,498,498,31.4K,4.1%,31045
docs/source-material/pdf-extract/embedded-images/image-009.png,4,9,image,2280,1640,icc,3,8,image,no,1516,0,146,146,101K,0.9%,131455
docs/source-material/pdf-extract/embedded-images/image-010.png,4,10,image,1839,1839,rgb,3,8,image,no,809,0,300,300,70.8K,0.7%,65536
docs/source-material/pdf-extract/embedded-images/image-011.png,4,11,smask,1839,1839,gray,1,8,image,no,809,0,300,300,48.1K,1.5%,36059
docs/source-material/pdf-extract/embedded-images/image-012.png,4,12,image,381,256,icc,3,8,image,no,810,0,318,319,218K,76%,150938
docs/source-material/pdf-extract/embedded-images/image-013.png,4,13,smask,381,256,gray,1,8,image,no,810,0,318,319,123B,0.1%,449
docs/source-material/pdf-extract/embedded-images/image-014.png,4,14,image,452,302,icc,3,8,image,no,811,0,245,244,114K,29%,94216
docs/source-material/pdf-extract/embedded-images/image-015.png,4,15,image,598,479,icc,3,8,image,no,812,0,479,479,184K,22%,154049
docs/source-material/pdf-extract/embedded-images/image-016.png,4,16,smask,598,479,gray,1,8,image,no,812,0,479,479,17.0K,6.1%,16991
